numero,id_tec,link,banca_orgao,materia,assunto,comando,enunciado,gabarito
11,2367836,www.tecconcursos.com.br/questoes/2367836,CEBRASPE (CESPE) - Prom Jus (MPE SC)/MPE SC/2023,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","A respeito do princípio republicano, da hermenêutica constitucional, das súmulas vinculantes e das limitações ao poder constituinte, julgue o item a seguir.",A noção de República como forma de governo do Brasil está intrinsecamente ligada à ideia de igualdade e de ausência de privilégios de classe e nascimento.,Certo
12,2497801,www.tecconcursos.com.br/questoes/2497801,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","No que diz respeito à democracia, aos tratados e convenções internacionais sobre direitos humanos e ao estatuto constitucional dos estados brasileiros, julgue o item seguinte.","Na democracia representativa brasileira, os representantes eleitos não exercem o chamado mandato imperativo, possuindo liberdade para votar e se manifestar sobre quaisquer assuntos durante sua investidura.",Certo
13,2503611,www.tecconcursos.com.br/questoes/2503611,CEBRASPE (CESPE) - Del Pol (PC AL)/PC AL/2023,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Acerca do federalismo, dos direitos fundamentais e dos direitos políticos, julgue o item a seguir.","Como os municípios integram a estrutura da Federação brasileira, representantes seus compõem o Poder Legislativo federal, de modo a contribuir na formação da vontade legislativa da União.",Errado
14,2520681,www.tecconcursos.com.br/questoes/2520681,CEBRASPE (CESPE) - ATM (Pref Fortaleza)/Pref Fortaleza/2023,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Considerando o conceito de Estado contemporâneo, julgue o item a seguir.","Um sistema de governo compreende as relações institucionais estabelecidas entre os órgãos integrantes dos Poderes Legislativo e Executivo, bem como os aspectos referentes à investidura e à continuação ou destituição dos governantes do poder.",Certo
15,2589000,www.tecconcursos.com.br/questoes/2589000,CEBRASPE (CESPE) - AFM (Pref Fortaleza)/Pref Fortaleza/Administração/2023,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Acerca de conceitos afetos ao Estado contemporâneo, considerando as teorias das formas e dos sistemas de governo, julgue o item a seguir.","Sistema de governo corresponde genericamente ao tipo de relações institucionais mantidas entre os órgãos integrantes dos Poderes Legislativo e Executivo, envolvendo também aspectos relativos à investidura e à manutenção ou destituição dos governantes do poder.",Certo
16,2637602,www.tecconcursos.com.br/questoes/2637602,CEBRASPE (CESPE) - Ana TI (DATAPREV)/DATAPREV/Advocacia/2023,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Em relação ao tratamento constitucional da União e do Poder Legislativo, julgue o item a seguir.","Devido ao princípio federativo adotado pelo Brasil, o chefe do Poder Executivo federal não desempenha funções que possam repercutir nos interesses dos estados- membros.",Errado
17,2503607,www.tecconcursos.com.br/questoes/2503607,CEBRASPE (CESPE) - Del Pol (PC AL)/PC AL/2023,Direito Constitucional (CF/1988 e Doutrina),Constitucionalismo e Neoconstitucionalismo,"A respeito das fontes e das classificações das constituições, do poder constituinte e do controle de constitucionalidade, julgue o item que se segue.","Uma das características do positivismo, de um ponto de vista estritamente jurídico, consiste em afastar a religião como fonte do direito constitucional.",Certo
18,2369218,www.tecconcursos.com.br/questoes/2369218,CEBRASPE (CESPE) - Prom Jus (MPE SC)/MPE SC/2023,Direito Constitucional (CF/1988 e Doutrina),"Princípios Constitucionais Sensíveis, Estabelecidos e Extensíveis","Considerando o princípio da dignidade da pessoa humana e o rol de direitos fundamentais estabelecido na CF, além da doutrina e da jurisprudência a respeito da matéria, julgue o item subsequente.","Um dos principais desdobramentos do princípio da dignidade da pessoa humana apontado pela doutrina é o princípio do mínimo existencial, o qual estabelece a obrigatoriedade de o Estado prover a todos os cidadãos condições materiais mínimas de sobrevivência.",Certo
19,3606593,www.tecconcursos.com.br/questoes/3606593,CEBRASPE (CESPE) - OFA (TJ PA)/TJ PA/2025,Direito Constitucional (CF/1988 e Doutrina),Histórico das Constituições no Brasil,"Acerca dos princípios fundamentais da Constituição Federal de 1988 (CF), julgue o item seguinte.","Os princípios fundamentais previstos no título I da CF representam uma inovação no constitucionalismo brasileiro, uma vez que as Constituições anteriores não continham dispositivos com estrutura principiológica.",Errado
20,3082939,www.tecconcursos.com.br/questoes/3082939,CEBRASPE (CESPE) - Diplomata/IRBr/2024,Direito Constitucional (CF/1988 e Doutrina),Histórico das Constituições no Brasil,"A respeito desse período, julgue (C ou E) o item a seguir.","A Constituição de 1946 reconheceu a educação básica como direito, estabeleceu a gratuidade do ensino primário, bem como definiu os percentuais da arrecadação fiscal que deveriam ser investidos no setor educacional pela União, estados e municípios.",Certo
21,3082977,www.tecconcursos.com.br/questoes/3082977,CEBRASPE (CESPE) - Diplomata/IRBr/2024,Direito Constitucional (CF/1988 e Doutrina),Histórico das Constituições no Brasil,"Considerando o período do Regime Militar no Brasil, julgue (C ou E) o item a seguir.",A Constituição de 1967 restabeleceu a pena de morte no Brasil para condenados por guerra revolucionária ou subversiva.,Errado
22,2497790,www.tecconcursos.com.br/questoes/2497790,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,Direito Constitucional (CF/1988 e Doutrina),Histórico das Constituições no Brasil,"No que diz respeito às assembleias nacionais constituintes, à rigidez constitucional, ao direito constitucional intertemporal e à mutação constitucional, julgue o seguinte item.","A Assembleia Nacional Constituinte de 1987-1988, no que se refere à forma de convocação, seguiu modelo ortodoxo, por haver sido convocada em ato jurídico autônomo, inovador, desconectado da ordem jurídica pretérita.",Errado
23,3341604,www.tecconcursos.com.br/questoes/3341604,CEBRASPE (CESPE) - AJ TRT10/TRT 10/Administrativa/Contabilidade/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Considerando as disposições da Constituição Federal de 1988 (CF) e a doutrina e jurisprudência correlatas, julgue o item a seguir.","Quanto à sua classificação, a CF pode ser considerada materialmente constitucional e codificada.",Errado
24,3348031,www.tecconcursos.com.br/questoes/3348031,"CEBRASPE (CESPE) - TJ TRT10/TRT 10/Administrativa/""Sem Especialidade""/2025",Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Julgue o item a seguir relativo à aplicabilidade das normas constitucionais, às classificações da Constituição Federal de 1988 e aos direitos e garantias fundamentais.","No que concerne à classificação das constituições, é correto afirmar que o Brasil adotou, no ano de 1988, um modelo de Constituição eclética, baseada em uma única ideologia política.",Errado
25,3450417,www.tecconcursos.com.br/questoes/3450417,"CEBRASPE (CESPE) - TJ (STM)/STM/Administrativa/""Sem Especialidade""/2025",Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Em relação à tipologia das constituições, ao poder constituinte e aos princípios de interpretação constitucional, julgue o item a seguir.","Quanto à forma, as constituições podem ser classificadas como promulgadas, quando há a participação popular na sua formação, ou como outorgadas, quando são impostas pelo agente que detém poder político de fato.",Errado
26,3495086,www.tecconcursos.com.br/questoes/3495086,CEBRASPE (CESPE) - Adm (FUB)/FUB/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Em relação à classificação das constituições e aos direitos e às garantias fundamentais previstos na Constituição Federal de 1988 (CF), julgue o item a seguir.","Classifica-se como material a constituição cujas regras sejam de natureza essencialmente constitucional, ainda que não estejam reunidas e formalizadas em um mesmo documento.",Certo
27,3499534,www.tecconcursos.com.br/questoes/3499534,CEBRASPE (CESPE) - Assist (FUB)/FUB/Administração/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Acerca da classificação da Constituição e dos princípios fundamentais, julgue o item a seguir.","A Constituição da República Federativa do Brasil classifica-se como semirrígida, pois apenas parte dela pode ser modificada, dada a existência de cláusulas pétreas.",Errado
28,3501275,www.tecconcursos.com.br/questoes/3501275,CEBRASPE (CESPE) - Tec (FUB)/FUB/Laboratório/Análise Clínica/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","No que se refere à classificação das Constituições e aos direitos e às garantias fundamentais previstos na Constituição Federal de 1988 (CF), julgue o item a seguir.","É classificada como super-rígida a Constituição que estabelece um processo legislativo diferenciado para a sua modificação, embora prevaleça, em pontos específicos, a imutabilidade.",Certo
29,3514030,www.tecconcursos.com.br/questoes/3514030,CEBRASPE (CESPE) - Adv (CAU MG)/CAU MG/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Julgue o item a seguir, relativos à classificação da Constituição e ao poder constituinte.","Considera-se Constituição semântica aquela em que o processo político não é conformado pela ordem constitucional, ou seja, não há consonância entre as normas constitucionais e a realidade política.",Certo
30,3545625,www.tecconcursos.com.br/questoes/3545625,CEBRASPE (CESPE) - DPF/PF/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Julgue o seguinte item, acerca das perspectivas sociológica, política e jurídica do direito constitucional e dos sentidos sociológico, político e jurídico da Constituição.","Segundo a concepção política, a Constituição é um complexo normativo estabelecido de uma só vez, em que, de maneira total, exaustiva e sistemática, são estabelecidas as funções fundamentais do Estado e regulados os órgãos, o âmbito de suas competências e as relações entre eles.",Errado
31,3545629,www.tecconcursos.com.br/questoes/3545629,CEBRASPE (CESPE) - DPF/PF/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Julgue o seguinte item, acerca das perspectivas sociológica, política e jurídica do direito constitucional e dos sentidos sociológico, político e jurídico da Constituição.","O sociologismo constitucional fundamenta-se em afirmações como, por exemplo, a de que a Constituição é imanência das situações e estruturas sociais do presente e a de que a Constituição não se sustenta em uma norma transcendente.",Certo
32,3599486,www.tecconcursos.com.br/questoes/3599486,CEBRASPE (CESPE) - AJ (TJ PA)/TJ PA/Direito/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Julgue o item seguinte, relacionado às classificações das Constituições.","As Constituições rígidas caracterizam-se pela exigência de procedimento mais complexo para sua alteração em relação às leis ordinárias, sendo essa rigidez incompatível com qualquer forma de flexibilidade constitucional, razão por que, segundo a doutrina, toda Constituição deve ser classificada como rígida ou flexível, não se admitindo categorias intermediárias.",Errado
33,3599487,www.tecconcursos.com.br/questoes/3599487,CEBRASPE (CESPE) - AJ (TJ PA)/TJ PA/Direito/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Julgue o item seguinte, relacionado às classificações das Constituições.","As Constituições outorgadas e cesaristas são espécies do gênero Constituições não democráticas, distinguindo-se pelo fato de que nas primeiras há imposição unilateral sem qualquer participação popular, enquanto nas segundas ocorre submissão formal à aprovação popular, ainda que mediante manipulação da opinião pública pelo detentor despótico do poder, sendo ambas incompatíveis com o exercício legítimo do poder constituinte originário.",Certo
34,3606586,www.tecconcursos.com.br/questoes/3606586,CEBRASPE (CESPE) - OFA (TJ PA)/TJ PA/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A esse respeito, julgue o item a seguir.","A Constituição Federal de 1988, por ser analítica e contemplar extenso rol de direitos fundamentais e regras detalhadas sobre organização estatal, exemplifica o modelo de Constituição que manifesta certa desconfiança em relação aos poderes constituídos, limitando sua discricionariedade.",Certo
35,3606591,www.tecconcursos.com.br/questoes/3606591,CEBRASPE (CESPE) - OFA (TJ PA)/TJ PA/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A esse respeito, julgue o item a seguir.","A distinção entre Constituições formais e materiais é relevante apenas para sistemas jurídicos que não possuem Constituição escrita, uma vez que nas Constituiçõescodificadas há coincidência entre forma e matéria constitucional, não sendo possível a existência de normas materialmente constitucionais fora do documento constitucional formal.",Errado
36,3661436,www.tecconcursos.com.br/questoes/3661436,CEBRASPE (CESPE) - APE (TCE-RS)/TCE RS/Arquitetura/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A respeito das classificações da Constituição Federal de 1988 (CF), julgue o seguinte item.","A CF é classificada, quanto à extensão, como sintética, por reunir e sintetizar os dogmas e as ideias fundamentais predominantes no momento de sua promulgação.",Errado
37,3661438,www.tecconcursos.com.br/questoes/3661438,CEBRASPE (CESPE) - APE (TCE-RS)/TCE RS/Arquitetura/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A respeito das classificações da Constituição Federal de 1988 (CF), julgue o seguinte item.","Quanto à rigidez, a CF classifica-se como semirrígida, em virtude do procedimento especial que se exige para sua alteração.",Errado
38,3661440,www.tecconcursos.com.br/questoes/3661440,CEBRASPE (CESPE) - APE (TCE-RS)/TCE RS/Arquitetura/2025,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A respeito das classificações da Constituição Federal de 1988 (CF), julgue o seguinte item.","A CF classifica-se, quanto à origem, como promulgada, por ter sido elaborada por representantes eleitos pelo povo.",Certo
39,2779625,www.tecconcursos.com.br/questoes/2779625,CEBRASPE (CESPE) - Adv (CAU BR)/CAU BR/2024,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Acerca da teoria da Constituição e sua classificação, bem como do poder constituinte, julgue o item a seguir.","A Constituição Federal de 1988 pode ser classificada corretamente como escrita, analítica, cesarista, dogmática e rígida.",Errado
40,2980595,www.tecconcursos.com.br/questoes/2980595,CEBRASPE (CESPE) - Cuid (Pref Cach Itapemirim)/Pref Cach Itapemirim/2024,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","No que se refere às classificações das constituições, aos princípios fundamentais e à administração pública, julgue o item a seguir.","Nesse sentido, considere que a sigla CF, sempre que empregada, se refere à Constituição Federal de 1988. Quanto à estabilidade, a doutrina majoritária classifica a CF como flexível, porque o seu texto já foi modificado mais de uma centena de vezes desde 1988.",Errado
41,2988117,www.tecconcursos.com.br/questoes/2988117,CEBRASPE (CESPE) - Enf (Pref Cach Itapemirim)/Pref Cach Itapemirim/Sem Área/2024,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Com referência à classificação das constituições, julgue o item que se segue, pertinente à Constituição Federal de 1988 (CF).","Quanto à estabilidade do seu texto, a CF é classificada como semirrígida, pois o procedimento para sua modificação é mais complexo que aquele estipulado para a criação de legislação infraconstitucional.",Errado
42,3074899,www.tecconcursos.com.br/questoes/3074899,CEBRASPE (CESPE) - Ana Adm (TCE AC)/TCE AC/Administração/2024,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A respeito da classificação da Constituição Federal de 1988, julgue o item a seguir.","Quanto à origem, a Constituição Federal de 1988 é considerada uma constituição outorgada, uma vez que o povo não participou de sua elaboração, senão mediante representantes eleitos.",Errado
43,3074900,www.tecconcursos.com.br/questoes/3074900,CEBRASPE (CESPE) - Ana Adm (TCE AC)/TCE AC/Administração/2024,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A respeito da classificação da Constituição Federal de 1988, julgue o item a seguir.","Quanto à estabilidade, a Constituição Federal de 1988 é classificada como semirrígida, na medida em que admite modificações, desde que observado procedimento legislativo especial e desde que as alterações não tenham por objeto cláusula pétrea.",Errado
44,2497793,www.tecconcursos.com.br/questoes/2497793,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","No que diz respeito às assembleias nacionais constituintes, à rigidez constitucional, ao direito constitucional intertemporal e à mutação constitucional, julgue o seguinte item.","Uma das principais manifestações da noção de rigidez constitucional no regime posterior a 1988 é a supremacia da Constituição, que se exterioriza, entre outras formas, pelo núcleo de matérias objeto de cláusula pétrea previsto no texto constitucional.",Certo
45,2497799,www.tecconcursos.com.br/questoes/2497799,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Acerca do poder constituinte e das emendas à Constituição, julgue o item a seguir.","Em países cuja Constituição é flexível, não há poder constituinte instituído de revisão.",Certo
46,2503609,www.tecconcursos.com.br/questoes/2503609,CEBRASPE (CESPE) - Del Pol (PC AL)/PC AL/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A respeito das fontes e das classificações das constituições, do poder constituinte e do controle de constitucionalidade, julgue o item que se segue.",A ideia de constituição dirigente representa a concepção de que a constituição de um país deve ser instrumento de transformação da realidade social e econômica.,Certo
47,2601544,www.tecconcursos.com.br/questoes/2601544,CEBRASPE (CESPE) - Ana TI (FUB)/FUB/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","No que diz respeito à classificação e aos princípios fundamentais da Constituição Federal de 1988 (CF), julgue o item a seguir.","Quanto ao conteúdo, a CF é classificada como formal; porém, as diferenças entre o conceito de constituição formal e o de constituição material são meramente acadêmicas, não havendo diferenças na prática do direito.",Errado
48,2609053,www.tecconcursos.com.br/questoes/2609053,CEBRASPE (CESPE) - Mus (FUB)/FUB/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A respeito do conceito, das classificações e dos princípios fundamentais de Constituição, julgue o item seguinte.",É correto conceituar Constituição como sendo a lei fundamental da sociedade.,Certo
49,2609054,www.tecconcursos.com.br/questoes/2609054,CEBRASPE (CESPE) - Mus (FUB)/FUB/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A respeito do conceito, das classificações e dos princípios fundamentais de Constituição, julgue o item seguinte.",A Constituição Federal de 1988 classifica-se como formal.,Certo
50,2609055,www.tecconcursos.com.br/questoes/2609055,CEBRASPE (CESPE) - Mus (FUB)/FUB/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","A respeito do conceito, das classificações e dos princípios fundamentais de Constituição, julgue o item seguinte.","Se a Constituição for rígida, ficará vedada a sua alteração.",Errado
51,2613740,www.tecconcursos.com.br/questoes/2613740,CEBRASPE (CESPE) - Tec (FUB)/FUB/Laboratório/Biologia/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Com relação às diferentes classificações das constituições e aos princípios fundamentais previstos na Constituição Federal de 1988 (CF), julgue o item seguinte.","Constituições podem ser formadas por regras não escritas em um único texto solene, tais como as contidas em costumes, convenções e jurisprudências.",Certo
52,2613743,www.tecconcursos.com.br/questoes/2613743,CEBRASPE (CESPE) - Tec (FUB)/FUB/Laboratório/Biologia/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Com relação às diferentes classificações das constituições e aos princípios fundamentais previstos na Constituição Federal de 1988 (CF), julgue o item seguinte.","Uma norma pode ser considerada constitucional caso observe o processo legislativo formal cabível, ainda que não trate de regras materialmente constitucionais.",Certo
53,2614674,www.tecconcursos.com.br/questoes/2614674,CEBRASPE (CESPE) - TAE (MEC)/MEC/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Em relação à Constituição Federal de 1988 (CF), julgue o item a seguir.","A CF pode ser classificada como cesarista, uma vez que, após a sua aprovação na Assembleia Nacional Constituinte, houve um plebiscito para aprová-la.",Errado
54,2761090,www.tecconcursos.com.br/questoes/2761090,CEBRASPE (CESPE) - Ana Jr (TBG)/TBG/Jurídico/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Acerca do conceito e da classificação da Constituição, julgue o item a seguir.",A CF classifica-se como analítica.,Certo
55,2761096,www.tecconcursos.com.br/questoes/2761096,CEBRASPE (CESPE) - Ana Jr (TBG)/TBG/Jurídico/2023,Direito Constitucional (CF/1988 e Doutrina),"Constituição: Conceito, Estrutura, Supremacia e Classificação","Acerca do conceito e da classificação da Constituição, julgue o item a seguir.","No sentido sociológico, a Constituição é uma decisão política fundamental.",Errado
56,3249796,www.tecconcursos.com.br/questoes/3249796,CEBRASPE (CESPE) - AJ TRF6/TRF 6/Administrativa/Sem Especialidade/2025,Direito Constitucional (CF/1988 e Doutrina),Eficácia das Normas Constitucionais,"Com relação aos princípios fundamentais e aos direitos e garantias fundamentais previstos na Constituição Federal de 1988 (CF), bem como à aplicabilidade das normas constitucionais, julgue o item a seguir.","A previsão constitucional segundo a qual é livre o exercício de qualquer trabalho, ofício ou profissão, desde que atendidas as qualificações profissionais estabelecidas por lei, é exemplo típico de norma constitucional de eficácia plena.",Errado
57,3290531,www.tecconcursos.com.br/questoes/3290531,CEBRASPE (CESPE) - APC (FUNPRESP-EXE)/FUNPRESP-EXE/Jurídica/2025,Direito Constitucional (CF/1988 e Doutrina),Eficácia das Normas Constitucionais,,"Julgue o item a seguir, com base no disposto na Emenda Constitucional n.º 103/2019. As normas que tratam das entidades de previdência complementar são autoaplicáveis, com eficácia direta e imediata.",Errado
58,3348021,www.tecconcursos.com.br/questoes/3348021,"CEBRASPE (CESPE) - TJ TRT10/TRT 10/Administrativa/""Sem Especialidade""/2025",Direito Constitucional (CF/1988 e Doutrina),Eficácia das Normas Constitucionais,"Julgue o item a seguir relativo à aplicabilidade das normas constitucionais, às classificações da Constituição Federal de 1988 e aos direitos e garantias fundamentais.",As normas de eficácia contida podem ser aplicadas sem a necessidade de serem complementadas por uma lei.,Certo
59,3438933,www.tecconcursos.com.br/questoes/3438933,CEBRASPE (CESPE) - Ana (EMBRAPA)/EMBRAPA/Direito e Auditoria/Assessoria Jurídica - Advogado/2025,Direito Constitucional (CF/1988 e Doutrina),Eficácia das Normas Constitucionais,"Julgue o item a seguir, considerando os princípios fundamentais da República Federativa do Brasil, os direitos e garantias fundamentais, bem como a aplicabilidade das normas constitucionais.","As normas de eficácia plena e aplicabilidade imediata reúnem todas as condições necessárias para a produção dos seus efeitos típicos, que podem ser restringidos pelo legislador infraconstitucional.",Errado
