numero_questao,link,banca_orgao,assunto,enunciado,alternativas,gabarito
28,www.tecconcursos.com.br/questoes/3501275,CEBRASPE (CESPE) - Tec (FUB)/FUB/Laboratório/Análise Clínica/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","28) No que se refere à classificação das Constituições e aos direitos e às garantias fundamentais previstos na Constituição Federal de 1988 (CF), julgue o item a seguir. É classificada como super-rígida a Constituição que estabelece um processo legislativo diferenciado para a sua modificação, embora prevaleça, em pontos específicos, a imutabilidade. Certo Errado",Certo;Errado,Certo
29,www.tecconcursos.com.br/questoes/3514030,CEBRASPE (CESPE) - Adv (CAU MG)/CAU MG/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","29) Julgue o item a seguir, relativos à classificação da Constituição e ao poder constituinte. Considera-se Constituição semântica aquela em que o processo político não é conformado pela ordem constitucional, ou seja, não há consonância entre as normas constitucionais e a realidade política. Certo Errado",Certo;Errado,Certo
30,www.tecconcursos.com.br/questoes/3545625,CEBRASPE (CESPE) - DPF/PF/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","30) Julgue o seguinte item, acerca das perspectivas sociológica, política e jurídica do direito constitucional e dos sentidos sociológico, político e jurídico da Constituição. Segundo a concepção política, a Constituição é um complexo normativo estabelecido de uma só vez, em que, de maneira total, exaustiva e sistemática, são estabelecidas as funções fundamentais do Estado e regulados os órgãos, o âmbito de suas competências e as relações entre eles. Certo Errado",Certo;Errado,Errado
31,www.tecconcursos.com.br/questoes/3545629,CEBRASPE (CESPE) - DPF/PF/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","31) Julgue o seguinte item, acerca das perspectivas sociológica, política e jurídica do direito constitucional e dos sentidos sociológico, político e jurídico da Constituição. O sociologismo constitucional fundamenta-se em afirmações como, por exemplo, a de que a Constituição é imanência das situações e estruturas sociais do presente e a de que a Constituição não se sustenta em uma norma transcendente. Certo Errado",Certo;Errado,Certo
32,www.tecconcursos.com.br/questoes/3599486,CEBRASPE (CESPE) - AJ (TJ PA)/TJ PA/Direito/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","32) Julgue o item seguinte, relacionado às classificações das Constituições. As Constituições rígidas caracterizam-se pela exigência de procedimento mais complexo para sua alteração em relação às leis ordinárias, sendo essa rigidez incompatível com qualquer forma de flexibilidade constitucional, razão por que, segundo a doutrina, toda Constituição deve ser classificada como rígida ou flexível, não se admitindo categorias intermediárias. Certo Errado",Certo;Errado,Errado
33,www.tecconcursos.com.br/questoes/3599487,CEBRASPE (CESPE) - AJ (TJ PA)/TJ PA/Direito/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","33) Julgue o item seguinte, relacionado às classificações das Constituições. As Constituições outorgadas e cesaristas são espécies do gênero Constituições não democráticas, distinguindo-se pelo fato de que nas primeiras há imposição unilateral sem qualquer participação popular, enquanto nas segundas ocorre submissão formal à aprovação popular, ainda que mediante manipulação da opinião pública pelo detentor despótico do poder, sendo ambas incompatíveis com o exercício legítimo do poder constituinte originário. Certo Errado",Certo;Errado,Certo
34,www.tecconcursos.com.br/questoes/3606586,CEBRASPE (CESPE) - OFA (TJ PA)/TJ PA/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","34) A classificação das constituições constitui instrumento teórico essencial para a compreensão da diversidade e da complexidade do fenômeno constitucional contemporâneo. A esse respeito, julgue o item a seguir. A Constituição Federal de 1988, por ser analítica e contemplar extenso rol de direitos fundamentais e regras detalhadas sobre organização estatal, exemplifica o modelo de Constituição que manifesta certa desconfiança em relação aos poderes constituídos, limitando sua discricionariedade. Certo Errado",Certo;Errado,Certo
35,www.tecconcursos.com.br/questoes/3606591,CEBRASPE (CESPE) - OFA (TJ PA)/TJ PA/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","35) A classificação das constituições constitui instrumento teórico essencial para a compreensão da diversidade e da complexidade do fenômeno constitucional contemporâneo. A esse respeito, julgue o item a seguir. A distinção entre Constituições formais e materiais é relevante apenas para sistemas jurídicos que não possuem Constituição escrita, uma vez que nas Constituiçõescodificadas há coincidência entre forma e matéria constitucional, não sendo possível a existência de normas materialmente constitucionais fora do documento constitucional formal. Certo Errado",Certo;Errado,Errado
36,www.tecconcursos.com.br/questoes/3661436,CEBRASPE (CESPE) - APE (TCE-RS)/TCE RS/Arquitetura/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","36) A respeito das classificações da Constituição Federal de 1988 (CF), julgue o seguinte item. A CF é classificada, quanto à extensão, como sintética, por reunir e sintetizar os dogmas e as ideias fundamentais predominantes no momento de sua promulgação. Certo Errado",Certo;Errado,Errado
37,www.tecconcursos.com.br/questoes/3661438,CEBRASPE (CESPE) - APE (TCE-RS)/TCE RS/Arquitetura/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","37) A respeito das classificações da Constituição Federal de 1988 (CF), julgue o seguinte item. Quanto à rigidez, a CF classifica-se como semirrígida, em virtude do procedimento especial que se exige para sua alteração. Certo Errado",Certo;Errado,Errado
38,www.tecconcursos.com.br/questoes/3661440,CEBRASPE (CESPE) - APE (TCE-RS)/TCE RS/Arquitetura/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","38) A respeito das classificações da Constituição Federal de 1988 (CF), julgue o seguinte item. A CF classifica-se, quanto à origem, como promulgada, por ter sido elaborada por representantes eleitos pelo povo. Certo Errado",Certo;Errado,Certo
39,www.tecconcursos.com.br/questoes/2779625,CEBRASPE (CESPE) - Adv (CAU BR)/CAU BR/2024,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","39) Acerca da teoria da Constituição e sua classificação, bem como do poder constituinte, julgue o item a seguir. A Constituição Federal de 1988 pode ser classificada corretamente como escrita, analítica, cesarista, dogmática e rígida. Certo Errado",Certo;Errado,Errado
40,www.tecconcursos.com.br/questoes/2980595,CEBRASPE (CESPE) - Cuid (Pref Cach Itapemirim)/Pref Cach Itapemirim/2024,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","40) No que se refere às classificações das constituições, aos princípios fundamentais e à administração pública, julgue o item a seguir. Nesse sentido, considere que a sigla CF, sempre que empregada, se refere à Constituição Federal de 1988. Quanto à estabilidade, a doutrina majoritária classifica a CF como flexível, porque o seu texto já foi modificado mais de uma centena de vezes desde 1988. Certo Errado",Certo;Errado,Errado
41,www.tecconcursos.com.br/questoes/2988117,CEBRASPE (CESPE) - Enf (Pref Cach Itapemirim)/Pref Cach Itapemirim/Sem Área/2024,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","41) Com referência à classificação das constituições, julgue o item que se segue, pertinente à Constituição Federal de 1988 (CF). Quanto à estabilidade do seu texto, a CF é classificada como semirrígida, pois o procedimento para sua modificação é mais complexo que aquele estipulado para a criação de legislação infraconstitucional. Certo Errado",Certo;Errado,Errado
42,www.tecconcursos.com.br/questoes/3074899,CEBRASPE (CESPE) - Ana Adm (TCE AC)/TCE AC/Administração/2024,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","42) A respeito da classificação da Constituição Federal de 1988, julgue o item a seguir. Quanto à origem, a Constituição Federal de 1988 é considerada uma constituição outorgada, uma vez que o povo não participou de sua elaboração, senão mediante representantes eleitos. Certo Errado",Certo;Errado,Errado
43,www.tecconcursos.com.br/questoes/3074900,CEBRASPE (CESPE) - Ana Adm (TCE AC)/TCE AC/Administração/2024,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","43) A respeito da classificação da Constituição Federal de 1988, julgue o item a seguir. Quanto à estabilidade, a Constituição Federal de 1988 é classificada como semirrígida, na medida em que admite modificações, desde que observado procedimento legislativo especial e desde que as alterações não tenham por objeto cláusula pétrea. Certo Errado",Certo;Errado,Errado
44,www.tecconcursos.com.br/questoes/2497793,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","44) No que diz respeito às assembleias nacionais constituintes, à rigidez constitucional, ao direito constitucional intertemporal e à mutação constitucional, julgue o seguinte item. Uma das principais manifestações da noção de rigidez constitucional no regime posterior a 1988 é a supremacia da Constituição, que se exterioriza, entre outras formas, pelo núcleo de matérias objeto de cláusula pétrea previsto no texto constitucional. Certo Errado",Certo;Errado,Certo
45,www.tecconcursos.com.br/questoes/2497799,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","45) Acerca do poder constituinte e das emendas à Constituição, julgue o item a seguir. Em países cuja Constituição é flexível, não há poder constituinte instituído de revisão. Certo Errado",Certo;Errado,Certo
46,www.tecconcursos.com.br/questoes/2503609,CEBRASPE (CESPE) - Del Pol (PC AL)/PC AL/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","46) A respeito das fontes e das classificações das constituições, do poder constituinte e do controle de constitucionalidade, julgue o item que se segue. A ideia de constituição dirigente representa a concepção de que a constituição de um país deve ser instrumento de transformação da realidade social e econômica. Certo Errado",Certo;Errado,Certo
47,www.tecconcursos.com.br/questoes/2601544,CEBRASPE (CESPE) - Ana TI (FUB)/FUB/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","47) No que diz respeito à classificação e aos princípios fundamentais da Constituição Federal de 1988 (CF), julgue o item a seguir. Quanto ao conteúdo, a CF é classificada como formal; porém, as diferenças entre o conceito de constituição formal e o de constituição material são meramente acadêmicas, não havendo diferenças na prática do direito. Certo Errado",Certo;Errado,Errado
48,www.tecconcursos.com.br/questoes/2609053,CEBRASPE (CESPE) - Mus (FUB)/FUB/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","48) A respeito do conceito, das classificações e dos princípios fundamentais de Constituição, julgue o item seguinte. É correto conceituar Constituição como sendo a lei fundamental da sociedade. Certo Errado",Certo;Errado,Certo
49,www.tecconcursos.com.br/questoes/2609054,CEBRASPE (CESPE) - Mus (FUB)/FUB/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","49) A respeito do conceito, das classificações e dos princípios fundamentais de Constituição, julgue o item seguinte. A Constituição Federal de 1988 classifica-se como formal. Certo Errado",Certo;Errado,Certo
50,www.tecconcursos.com.br/questoes/2609055,CEBRASPE (CESPE) - Mus (FUB)/FUB/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","50) A respeito do conceito, das classificações e dos princípios fundamentais de Constituição, julgue o item seguinte. Se a Constituição for rígida, ficará vedada a sua alteração. Certo Errado",Certo;Errado,Errado
51,www.tecconcursos.com.br/questoes/2613740,CEBRASPE (CESPE) - Tec (FUB)/FUB/Laboratório/Biologia/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","51) Com relação às diferentes classificações das constituições e aos princípios fundamentais previstos na Constituição Federal de 1988 (CF), julgue o item seguinte. Constituições podem ser formadas por regras não escritas em um único texto solene, tais como as contidas em costumes, convenções e jurisprudências. Certo Errado",Certo;Errado,Certo
52,www.tecconcursos.com.br/questoes/2613743,CEBRASPE (CESPE) - Tec (FUB)/FUB/Laboratório/Biologia/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","52) Com relação às diferentes classificações das constituições e aos princípios fundamentais previstos na Constituição Federal de 1988 (CF), julgue o item seguinte. Uma norma pode ser considerada constitucional caso observe o processo legislativo formal cabível, ainda que não trate de regras materialmente constitucionais. Certo Errado",Certo;Errado,Certo
53,www.tecconcursos.com.br/questoes/2614674,CEBRASPE (CESPE) - TAE (MEC)/MEC/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","53) Em relação à Constituição Federal de 1988 (CF), julgue o item a seguir. A CF pode ser classificada como cesarista, uma vez que, após a sua aprovação na Assembleia Nacional Constituinte, houve um plebiscito para aprová-la. Certo Errado",Certo;Errado,Errado
54,www.tecconcursos.com.br/questoes/2761090,CEBRASPE (CESPE) - Ana Jr (TBG)/TBG/Jurídico/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","54) Acerca do conceito e da classificação da Constituição, julgue o item a seguir. A CF classifica-se como analítica. Certo Errado",Certo;Errado,Certo
55,www.tecconcursos.com.br/questoes/2761096,CEBRASPE (CESPE) - Ana Jr (TBG)/TBG/Jurídico/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","55) Acerca do conceito e da classificação da Constituição, julgue o item a seguir. No sentido sociológico, a Constituição é uma decisão política fundamental. Certo Errado",Certo;Errado,Errado
56,www.tecconcursos.com.br/questoes/3249796,CEBRASPE (CESPE) - AJ TRF6/TRF 6/Administrativa/Sem Especialidade/2025,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"56) Com relação aos princípios fundamentais e aos direitos e garantias fundamentais previstos na Constituição Federal de 1988 (CF), bem como à aplicabilidade das normas constitucionais, julgue o item a seguir. A previsão constitucional segundo a qual é livre o exercício de qualquer trabalho, ofício ou profissão, desde que atendidas as qualificações profissionais estabelecidas por lei, é exemplo típico de norma constitucional de eficácia plena. Certo Errado",Certo;Errado,Errado
